Gene,logFC,logCPM,F,PValue,FDR,mouse_gene
KLKB1,-0.6566813720795164,7.148374908355588,3.181265361674241,0.08283910734831396,0.39840542868473766,Klkb1
MELK,-0.6567389516423181,1.8345231271497136,1.242715871461758,0.2722654169665194,0.6239326430364338,Melk
CNIH1,-0.656869778314791,5.851633218806835,2.7895855582665945,0.1034700211584155,0.4372528215696765,Cnih1
PHBP2,-0.6573065553066006,0.9405023179127796,0.6711206374424799,0.4180006916710895,0.7325433296960246,NA
BRK1,-0.6577975511959456,4.138031400154545,3.871082711544901,0.05679213146188761,0.3452083263823463,Brk1
ECHS1,-0.6585900253319011,7.0804192130351264,3.444541444688318,0.07158327088945837,0.3777343641967927,Echs1
TOB1,-0.6587389946299269,7.414297939277368,3.6035402480421,0.0656194892090385,0.3642436250478632,Tob1
NIPSNAP3A,-0.6588726896509398,3.6070568285549105,3.9645085770821074,0.05402668254757536,0.3403763421065589,Nipsnap3b
GPX3,-0.6595785150901398,7.390776348106127,2.2073316926216644,0.14597907409149524,0.5019625988587447,Gpx3
TOMM7,-0.6599313409363124,4.0635360555483935,3.018816062134871,0.09077169622062678,0.412619056100312,Tomm7
USP30,-0.660580250253111,4.4277192544942015,8.205868327345463,0.00689696953729972,0.1640435802187833,Usp30
PER3,-0.6609103285105334,6.411146479337532,3.747717221055173,0.06068701744833108,0.3543317443339783,Per3
GOLGA6B,-0.6609155566769566,3.0753277130560916,1.1143293726638124,0.2981093116966882,0.6463404278668582,Golga2
CCDC28A,-0.6611370925273897,3.328865176147919,4.967082564145401,0.03210601168970255,0.27000067523397164,Ccdc28a
ROMO1,-0.66117653003941,2.7561568930001585,2.0677078584826836,0.1590024527802552,0.5185809839195697,Romo1
NUDT7,-0.6613808085245262,3.7090048189673226,4.548002946553359,0.03978081312902016,0.29659838966579477,Nudt7
CYP27A1,-0.6614786559941113,7.785207020981201,2.692133116132699,0.10947175628494836,0.4476148371463025,Cyp27a1
