Gene,logFC,logCPM,F,PValue,FDR
TALDO1,-0.09130890255744306,5.338347893020479,0.08361950528640169,0.7740940524280535,0.9175702965025125
MON1B,-0.09132846935600829,5.101231041273344,0.3656708775314794,0.5491303188535217,0.811255141727027
ACTRT3,-0.09135210486204436,0.41481630572346734,0.0639787496718116,0.8017395681563132,0.9299196450168191
CDADC1,-0.09141974199763156,3.528043921293558,0.1566315304127155,0.6945905624352637,0.8826108846821633
SHBG,-0.09144980088467485,4.053130072387381,0.03200084302632086,0.8590192713068259,0.9515948008121488
RPL4,-0.09146615754411491,8.030935269672169,0.08675470474666486,0.7700199106430216,0.9164094280381738
SNU13,-0.09158407782796828,4.20070735574876,0.08179381972954648,0.7765048086092664,0.9184865235049198
LYSMD1,-0.09165549253299284,3.5686699211674666,0.22067633832177555,0.6413313663206055,0.8595821770284954
FAT1,-0.09175768739031533,9.1456471650359,0.10181786377076761,0.7514856324982728,0.907907048355755
BCL6,-0.09179524923608286,6.707856351271799,0.13001045453742335,0.7205083537269774,0.8962024527618263
WLS,-0.09182857298656823,4.207324243398764,0.07103135340356201,0.791347258167609,0.9252987731843141
CTSS,-0.0918648055614846,6.05522343998505,0.08702228319540387,0.769675933328704,0.9161963100070581
CSRP2,-0.09190451544220375,3.8603428309493957,0.058239253143389985,0.8106571302054391,0.9327977942228788
SCAMP2,-0.09203965079501697,5.123710969794583,0.15013567725949667,0.7006655567513118,0.8861042973491747
PAMR1,-0.09208114912663676,3.017195171446906,0.021605521835404963,0.8839536761383984,0.9605335334910013
NSFL1C,-0.09212841045268243,5.576036391985862,0.35024523126181534,0.5576378897082266,0.8164461903744926
CSTF2,-0.09233405033347948,2.9412672125745014,0.15711936526304668,0.6941402730310289,0.882491114708258
SLC16A13,-0.09252277071244865,3.8042109103440898,0.05566067023121688,0.8148151805132073,0.9344025730432982
FGA,-0.09260296908045167,12.882974920872066,0.052404640828679114,0.8202138615586103,0.9360354251527934
MZB1,-0.09271036138721582,1.3304242727491946,0.015208124834635099,0.902532169726379,0.9674214300681545
GPR155,-0.09282803121475326,4.815187984770129,0.1751279149341197,0.6780566352320664,0.8760905402736413
CEBPB,-0.09287737736264043,4.981725403304017,0.11164263187225563,0.7402020549922849,0.9028672278079501
MCOLN2,-0.09289494469937111,1.5630901888344133,0.024731956496238862,0.8759072112526276,0.9573316939712951
IFT81,-0.09308884845903623,4.330896166734124,0.1348618758745522,0.7155730573444951,0.8938035035367646
CTGF,-0.0932998333872831,5.044704248101524,0.03928518281593713,0.8439892150508327,0.945131151257234
YTHDF1,-0.09348470900598448,5.285167303437831,0.34972905174797636,0.5579269456236038,0.8165875933399153
SUGP1,-0.09352128087224953,4.567059364612599,0.3055447597058717,0.5838109353212144,0.8303747925409971
REV1,-0.09353331585677267,5.924416012581828,0.3459326909388617,0.5600618042869261,0.8174259540728668
GPR89B,-0.09360124482708225,5.032581421520002,0.21551008505834657,0.6452512287911709,0.8613256604768769
TBL1X,-0.09365994510214201,5.216144896834509,0.07500588537143883,0.7857334309881778,0.9225987421719412
NUP155,-0.09368028386607034,5.530651629935109,0.2543602158601843,0.6170654320415117,0.8481041238311946
CEP295,-0.09368359031407858,5.613996764197402,0.29598853328325914,0.5897303718785295,0.8330252939240288
